GEOID,ORAYEAR,VOLUME
I211,2013,18965
I464,2013,12135
I1045,2013,13474
I1413,2013,12399
I1465,2013,15991
I1485,2013,12405
I1594,2013,20678
I1229,2013,26161
I1331,2013,16980
I741,2013,27091
I417,2013,33272
I1181,2013,20912
I1119,2013,20157
I131,2013,1411
I1315,2013,16285
I1379,2013,14816
I1391,2013,30481
I1394,2013,27743
I1475,2013,19069
I1482,2013,19063
I1500,2013,18950
I1568,2013,10306
I1580,2013,24212
I1588,2013,15138
I1592,2013,28858
I1596,2013,17999
I1025,2013,9879
I1609,2013,28202
I1618,2013,10022
I185,2013,24438
I249,2013,16594
I256,2013,20978
I287,2013,9284
I1284,2013,2433
I883,2013,13681
I879,2013,30083
I764,2013,31035
I738,2013,34157
I666,2013,14268
I664,2013,13784
I645,2013,13273
I550,2013,10619
I461,2013,32165
I448,2013,9528
I406,2013,27158
I402,2013,19101
I900,2013,29639
I1489,2013,21884
I939,2013,507
I1051,2013,7878
I1052,2013,6127
I1483,2013,7090
I1492,2013,6192
I1053,2013,9907
I1046,2013,9609
I1471,2013,6514
I1486,2013,6394
I484,2013,9341
I886,2013,18237
I891,2013,21253
I618,2013,4564
I617,2013,4685
I607,2013,12808
I1271,2013,20036
I1054,2013,19785
I1220,2013,31270
I463,2013,12985
I1224,2013,15159
I1377,2013,9243
I1312,2013,21779
